0 с,   0.00 м/с
202 с,   7013.89 м/с
203 с,   7048.61 м/с
204 с,   7083.33 м/с
205 с,   7118.06 м/с
206 с,   7152.78 м/с
207 с,   7187.50 м/с
208 с,   7222.22 м/с
209 с,   7256.94 м/с
210 с,   7291.67 м/с
211 с,   7326.39 м/с
212 с,   7361.11 м/с
213 с,   7395.83 м/с
214 с,   7430.56 м/с
215 с,   7465.28 м/с
216 с,   7500.00 м/с
217 с,   7534.72 м/с
218 с,   7569.44 м/с
219 с,   7604.17 м/с
220 с,   7638.89 м/с
221 с,   7673.61 м/с
222 с,   7708.33 м/с
223 с,   7743.06 м/с
224 с,   7777.78 м/с
225 с,   7812.50 м/с
226 с,   7847.22 м/с
227 с,   7881.94 м/с
228 с,   7916.67 м/с
229 с,   7951.39 м/с
230 с,   7986.11 м/с
231 с,   8020.83 м/с
232 с,   8055.56 м/с
233 с,   8090.28 м/с
234 с,   8125.00 м/с
235 с,   8159.72 м/с
236 с,   8194.44 м/с
237 с,   8229.17 м/с
238 с,   8263.89 м/с
239 с,   8298.61 м/с
240 с,   8333.33 м/с
241 с,   8368.06 м/с
242 с,   8402.78 м/с
243 с,   8437.50 м/с
244 с,   8472.22 м/с
245 с,   8506.94 м/с
246 с,   8541.67 м/с
247 с,   8576.39 м/с
248 с,   8611.11 м/с
249 с,   8645.83 м/с
250 с,   8680.56 м/с
251 с,   8715.28 м/с
252 с,   8750.00 м/с
253 с,   8784.72 м/с
254 с,   8819.44 м/с
255 с,   8854.17 м/с
256 с,   8888.89 м/с
257 с,   8923.61 м/с
258 с,   8958.33 м/с
259 с,   8993.06 м/с
260 с,   9027.78 м/с
261 с,   9062.50 м/с
262 с,   9097.22 м/с
263 с,   9131.94 м/с
264 с,   9166.67 м/с
265 с,   9201.39 м/с
266 с,   9236.11 м/с
267 с,   9270.83 м/с
268 с,   9305.56 м/с
269 с,   9340.28 м/с
270 с,   9375.00 м/с
271 с,   9409.72 м/с
272 с,   9444.44 м/с
273 с,   9479.17 м/с
274 с,   9513.89 м/с
275 с,   9548.61 м/с
276 с,   9583.33 м/с
277 с,   9618.06 м/с
278 с,   9652.78 м/с
279 с,   9687.50 м/с
