0 с,   0.00 м/с
2433 с,   28046.81 м/с
2434 с,   28048.17 м/с
2435 с,   28049.55 м/с
2436 с,   28050.95 м/с
2437 с,   28052.37 м/с
2438 с,   28053.80 м/с
2439 с,   28055.26 м/с
2440 с,   28056.74 м/с
2441 с,   28058.23 м/с
2442 с,   28059.75 м/с
2443 с,   28061.28 м/с
2444 с,   28062.83 м/с
2445 с,   28064.41 м/с
2446 с,   28066.00 м/с
2447 с,   28067.61 м/с
2448 с,   28069.24 м/с
2449 с,   28070.89 м/с
2450 с,   28072.55 м/с
2451 с,   28074.24 м/с
2452 с,   28075.94 м/с
2453 с,   28077.67 м/с
2454 с,   28079.41 м/с
2455 с,   28081.18 м/с
2456 с,   28082.96 м/с
2457 с,   28084.76 м/с
2458 с,   28086.58 м/с
2459 с,   28088.41 м/с
2460 с,   28090.27 м/с
2461 с,   28092.15 м/с
2462 с,   28094.04 м/с
2463 с,   28095.95 м/с
2464 с,   28097.89 м/с
2465 с,   28099.84 м/с
2466 с,   28101.81 м/с
2467 с,   28103.80 м/с
2468 с,   28105.80 м/с
2469 с,   28107.83 м/с
2470 с,   28109.87 м/с
2471 с,   28111.94 м/с
2472 с,   28114.02 м/с
2473 с,   28116.12 м/с
2474 с,   28118.24 м/с
2475 с,   28120.38 м/с
2476 с,   28122.53 м/с
2477 с,   28124.71 м/с
2478 с,   28126.90 м/с
2479 с,   28129.11 м/с
2480 с,   28131.34 м/с
2481 с,   28133.59 м/с
2482 с,   28135.86 м/с
2483 с,   28138.14 м/с
2484 с,   28140.45 м/с
2485 с,   28142.77 м/с
2486 с,   28145.11 м/с
2487 с,   28147.47 м/с
2488 с,   28149.85 м/с
2489 с,   28152.24 м/с
2490 с,   28154.65 м/с
2491 с,   28157.09 м/с
2492 с,   28159.54 м/с
2493 с,   28162.00 м/с
2494 с,   28164.49 м/с
2495 с,   28167.00 м/с
2496 с,   28169.52 м/с
2497 с,   28172.06 м/с
2498 с,   28174.62 м/с
2499 с,   28177.19 м/с
2500 с,   28179.79 м/с
2501 с,   28182.40 м/с
2502 с,   28185.03 м/с
2503 с,   28187.68 м/с
2504 с,   28190.35 м/с
2505 с,   28193.03 м/с
2506 с,   28195.73 м/с
2507 с,   28198.45 м/с
2508 с,   28201.19 м/с
2509 с,   28203.94 м/с
2510 с,   28206.72 м/с
2511 с,   28209.51 м/с
2512 с,   28212.32 м/с
2513 с,   28215.14 м/с
2514 с,   28217.99 м/с
2515 с,   28220.85 м/с
2516 с,   28223.73 м/с
2517 с,   28226.62 м/с
2518 с,   28229.54 м/с
2519 с,   28232.47 м/с
2520 с,   28235.42 м/с
2521 с,   28238.38 м/с
2522 с,   28241.37 м/с
2523 с,   28244.37 м/с
2524 с,   28247.39 м/с
2525 с,   28250.42 м/с
2526 с,   28253.48 м/с
2527 с,   28256.55 м/с
2528 с,   28259.63 м/с
2529 с,   28262.74 м/с
2530 с,   28265.86 м/с
2531 с,   28269.00 м/с
2532 с,   28272.15 м/с
2533 с,   28275.33 м/с
2534 с,   28278.52 м/с
2535 с,   28281.72 м/с
2536 с,   28284.95 м/с
2537 с,   28288.19 м/с
2538 с,   28291.45 м/с
2539 с,   28294.72 м/с
2540 с,   28298.01 м/с
2541 с,   28301.32 м/с
2542 с,   28304.64 м/с
2543 с,   28307.99 м/с
2544 с,   28311.34 м/с
2545 с,   28314.72 м/с
2546 с,   28318.11 м/с
2547 с,   28321.52 м/с
2548 с,   28324.94 м/с
2549 с,   28328.39 м/с
2550 с,   28331.84 м/с
2551 с,   28335.32 м/с
2552 с,   28338.81 м/с
2553 с,   28342.32 м/с
2554 с,   28345.84 м/с
2555 с,   28349.38 м/с
2556 с,   28352.93 м/с
2557 с,   28356.51 м/с
2558 с,   28360.10 м/с
2559 с,   28363.70 м/с
2560 с,   28367.32 м/с
2561 с,   28370.96 м/с
2562 с,   28374.61 м/с
2563 с,   28378.28 м/с
2564 с,   28381.97 м/с
2565 с,   28385.67 м/с
2566 с,   28389.38 м/с
2567 с,   28393.12 м/с
2568 с,   28396.87 м/с
2569 с,   28400.63 м/с
2570 с,   28404.41 м/с
2571 с,   28408.21 м/с
2572 с,   28412.02 м/с
2573 с,   28415.85 м/с
2574 с,   28419.69 м/с
2575 с,   28423.55 м/с
2576 с,   28427.42 м/с
2577 с,   28431.31 м/с
2578 с,   28435.22 м/с
2579 с,   28439.14 м/с
2580 с,   28443.08 м/с
2581 с,   28447.03 м/с
2582 с,   28450.99 м/с
2583 с,   28454.98 м/с
2584 с,   28458.97 м/с
2585 с,   28462.99 м/с
2586 с,   28467.01 м/с
2587 с,   28471.06 м/с
2588 с,   28475.11 м/с
2589 с,   28479.19 м/с
2590 с,   28483.28 м/с
2591 с,   28487.38 м/с
2592 с,   28491.50 м/с
2593 с,   28495.63 м/с
2594 с,   28499.78 м/с
2595 с,   28503.94 м/с
2596 с,   28508.12 м/с
2597 с,   28512.31 м/с
2598 с,   28516.52 м/с
2599 с,   28520.74 м/с
2600 с,   28524.97 м/с
2601 с,   28529.22 м/с
2602 с,   28533.49 м/с
2603 с,   28537.77 м/с
2604 с,   28542.06 м/с
2605 с,   28546.37 м/с
2606 с,   28550.69 м/с
2607 с,   28555.03 м/с
2608 с,   28559.38 м/с
2609 с,   28563.75 м/с
2610 с,   28568.13 м/с
2611 с,   28572.52 м/с
2612 с,   28576.93 м/с
2613 с,   28581.35 м/с
2614 с,   28585.79 м/с
2615 с,   28590.24 м/с
2616 с,   28594.70 м/с
2617 с,   28599.18 м/с
2618 с,   28603.67 м/с
2619 с,   28608.17 м/с
2620 с,   28612.69 м/с
2621 с,   28617.23 м/с
2622 с,   28621.77 м/с
2623 с,   28626.33 м/с
2624 с,   28630.91 м/с
2625 с,   28635.49 м/с
2626 с,   28640.09 м/с
2627 с,   28644.71 м/с
2628 с,   28649.33 м/с
2629 с,   28653.97 м/с
2630 с,   28658.63 м/с
2631 с,   28663.30 м/с
2632 с,   28667.98 м/с
2633 с,   28672.67 м/с
2634 с,   28677.38 м/с
2635 с,   28682.10 м/с
2636 с,   28686.83 м/с
2637 с,   28691.57 м/с
2638 с,   28696.33 м/с
2639 с,   28701.10 м/с
2640 с,   28705.89 м/с
2641 с,   28710.69 м/с
2642 с,   28715.49 м/с
2643 с,   28720.32 м/с
2644 с,   28725.15 м/с
2645 с,   28730.00 м/с
2646 с,   28734.86 м/с
2647 с,   28739.73 м/с
2648 с,   28744.62 м/с
2649 с,   28749.51 м/с
2650 с,   28754.42 м/с
2651 с,   28759.35 м/с
2652 с,   28764.28 м/с
2653 с,   28769.23 м/с
2654 с,   28774.19 м/с
2655 с,   28779.16 м/с
2656 с,   28784.14 м/с
2657 с,   28789.13 м/с
2658 с,   28794.14 м/с
2659 с,   28799.16 м/с
2660 с,   28804.19 м/с
2661 с,   28809.23 м/с
2662 с,   28814.29 м/с
2663 с,   28819.35 м/с
2664 с,   28824.43 м/с
2665 с,   28829.52 м/с
2666 с,   28834.62 м/с
2667 с,   28839.73 м/с
2668 с,   28844.85 м/с
2669 с,   28849.99 м/с
2670 с,   28855.14 м/с
2671 с,   28860.29 м/с
2672 с,   28865.46 м/с
2673 с,   28870.64 м/с
2674 с,   28875.83 м/с
2675 с,   28881.04 м/с
2676 с,   28886.25 м/с
2677 с,   28891.47 м/с
2678 с,   28896.71 м/с
2679 с,   28901.95 м/с
2680 с,   28907.21 м/с
2681 с,   28912.48 м/с
2682 с,   28917.76 м/с
2683 с,   28923.05 м/с
2684 с,   28928.35 м/с
2685 с,   28933.66 м/с
2686 с,   28938.98 м/с
2687 с,   28944.31 м/с
2688 с,   28949.65 м/с
2689 с,   28955.00 м/с
2690 с,   28960.37 м/с
2691 с,   28965.74 м/с
2692 с,   28971.12 м/с
2693 с,   28976.51 м/с
2694 с,   28981.92 м/с
2695 с,   28987.33 м/с
2696 с,   28992.75 м/с
2697 с,   28998.19 м/с
2698 с,   29003.63 м/с
2699 с,   29009.08 м/с
2700 с,   29014.55 м/с
2701 с,   29020.02 м/с
2702 с,   29025.50 м/с
2703 с,   29030.99 м/с
2704 с,   29036.49 м/с
2705 с,   29042.00 м/с
2706 с,   29047.52 м/с
2707 с,   29053.05 м/с
2708 с,   29058.59 м/с
2709 с,   29064.14 м/с
2710 с,   29069.70 м/с
2711 с,   29075.26 м/с
2712 с,   29080.84 м/с
2713 с,   29086.43 м/с
2714 с,   29092.02 м/с
2715 с,   29097.62 м/с
2716 с,   29103.23 м/с
2717 с,   29108.85 м/с
2718 с,   29114.48 м/с
2719 с,   29120.12 м/с
2720 с,   29125.77 м/с
2721 с,   29131.42 м/с
2722 с,   29137.09 м/с
2723 с,   29142.76 м/с
2724 с,   29148.44 м/с
2725 с,   29154.13 м/с
2726 с,   29159.83 м/с
2727 с,   29165.53 м/с
2728 с,   29171.25 м/с
2729 с,   29176.97 м/с
2730 с,   29182.70 м/с
2731 с,   29188.44 м/с
2732 с,   29194.19 м/с
2733 с,   29199.94 м/с
2734 с,   29205.70 м/с
2735 с,   29211.47 м/с
2736 с,   29217.25 м/с
2737 с,   29223.04 м/с
2738 с,   29228.83 м/с
2739 с,   29234.63 м/с
2740 с,   29240.44 м/с
2741 с,   29246.26 м/с
2742 с,   29252.08 м/с
2743 с,   29257.91 м/с
2744 с,   29263.75 м/с
2745 с,   29269.60 м/с
2746 с,   29275.45 м/с
2747 с,   29281.31 м/с
2748 с,   29287.18 м/с
2749 с,   29293.05 м/с
2750 с,   29298.93 м/с
2751 с,   29304.82 м/с
2752 с,   29310.71 м/с
2753 с,   29316.62 м/с
2754 с,   29322.52 м/с
2755 с,   29328.44 м/с
2756 с,   29334.36 м/с
2757 с,   29340.29 м/с
2758 с,   29346.22 м/с
2759 с,   29352.17 м/с
2760 с,   29358.11 м/с
2761 с,   29364.07 м/с
2762 с,   29370.03 м/с
2763 с,   29375.99 м/с
2764 с,   29381.97 м/с
2765 с,   29387.94 м/с
2766 с,   29393.93 м/с
2767 с,   29399.92 м/с
2768 с,   29405.92 м/с
2769 с,   29411.92 м/с
2770 с,   29417.93 м/с
2771 с,   29423.94 м/с
2772 с,   29429.96 м/с
2773 с,   29435.99 м/с
2774 с,   29442.02 м/с
2775 с,   29448.05 м/с
2776 с,   29454.10 м/с
2777 с,   29460.14 м/с
2778 с,   29466.20 м/с
2779 с,   29472.25 м/с
2780 с,   29478.32 м/с
2781 с,   29484.39 м/с
2782 с,   29490.46 м/с
2783 с,   29496.54 м/с
2784 с,   29502.62 м/с
2785 с,   29508.71 м/с
2786 с,   29514.80 м/с
2787 с,   29520.90 м/с
2788 с,   29527.00 м/с
2789 с,   29533.11 м/с
2790 с,   29539.22 м/с
2791 с,   29545.34 м/с
2792 с,   29551.46 м/с
2793 с,   29557.58 м/с
2794 с,   29563.71 м/с
2795 с,   29569.85 м/с
2796 с,   29575.99 м/с
2797 с,   29582.13 м/с
2798 с,   29588.27 м/с
2799 с,   29594.43 м/с
2800 с,   29600.58 м/с
2801 с,   29606.74 м/с
2802 с,   29612.90 м/с
2803 с,   29619.07 м/с
2804 с,   29625.24 м/с
2805 с,   29631.41 м/с
2806 с,   29637.59 м/с
2807 с,   29643.77 м/с
2808 с,   29649.95 м/с
2809 с,   29656.14 м/с
2810 с,   29662.33 м/с
2811 с,   29668.53 м/с
2812 с,   29674.73 м/с
2813 с,   29680.93 м/с
2814 с,   29687.13 м/с
2815 с,   29693.34 м/с
2816 с,   29699.55 м/с
2817 с,   29705.76 м/с
2818 с,   29711.98 м/с
2819 с,   29718.20 м/с
2820 с,   29724.42 м/с
2821 с,   29730.64 м/с
2822 с,   29736.87 м/с
2823 с,   29743.10 м/с
2824 с,   29749.33 м/с
2825 с,   29755.57 м/с
2826 с,   29761.81 м/с
2827 с,   29768.05 м/с
2828 с,   29774.29 м/с
2829 с,   29780.53 м/с
2830 с,   29786.78 м/с
2831 с,   29793.03 м/с
2832 с,   29799.28 м/с
2833 с,   29805.53 м/с
2834 с,   29811.78 м/с
2835 с,   29818.04 м/с
2836 с,   29824.30 м/с
2837 с,   29830.56 м/с
2838 с,   29836.82 м/с
2839 с,   29843.08 м/с
2840 с,   29849.35 м/с
2841 с,   29855.61 м/с
2842 с,   29861.88 м/с
2843 с,   29868.15 м/с
2844 с,   29874.42 м/с
2845 с,   29880.69 м/с
2846 с,   29886.96 м/с
2847 с,   29893.24 м/с
2848 с,   29899.51 м/с
2849 с,   29905.79 м/с
2850 с,   29912.06 м/с
2851 с,   29918.34 м/с
2852 с,   29924.62 м/с
2853 с,   29930.90 м/с
2854 с,   29937.18 м/с
2855 с,   29943.46 м/с
2856 с,   29949.74 м/с
2857 с,   29956.02 м/с
2858 с,   29962.30 м/с
2859 с,   29968.59 м/с
2860 с,   29974.87 м/с
2861 с,   29981.15 м/с
2862 с,   29987.43 м/с
2863 с,   29993.72 м/с
2864 с,   30000.00 м/с
2865 с,   30006.28 м/с
2866 с,   30012.57 м/с
2867 с,   30018.85 м/с
2868 с,   30025.13 м/с
2869 с,   30031.41 м/с
2870 с,   30037.70 м/с
2871 с,   30043.98 м/с
2872 с,   30050.26 м/с
2873 с,   30056.54 м/с
2874 с,   30062.82 м/с
2875 с,   30069.10 м/с
2876 с,   30075.38 м/с
2877 с,   30081.66 м/с
2878 с,   30087.94 м/с
2879 с,   30094.21 м/с
2880 с,   30100.49 м/с
2881 с,   30106.76 м/с
2882 с,   30113.04 м/с
2883 с,   30119.31 м/с
2884 с,   30125.58 м/с
2885 с,   30131.85 м/с
2886 с,   30138.12 м/с
2887 с,   30144.39 м/с
2888 с,   30150.65 м/с
2889 с,   30156.92 м/с
2890 с,   30163.18 м/с
2891 с,   30169.44 м/с
2892 с,   30175.70 м/с
2893 с,   30181.96 м/с
2894 с,   30188.22 м/с
2895 с,   30194.47 м/с
2896 с,   30200.72 м/с
2897 с,   30206.97 м/с
2898 с,   30213.22 м/с
2899 с,   30219.47 м/с
2900 с,   30225.71 м/с
2901 с,   30231.95 м/с
2902 с,   30238.19 м/с
2903 с,   30244.43 м/с
2904 с,   30250.67 м/с
2905 с,   30256.90 м/с
2906 с,   30263.13 м/с
2907 с,   30269.36 м/с
2908 с,   30275.58 м/с
2909 с,   30281.80 м/с
2910 с,   30288.02 м/с
2911 с,   30294.24 м/с
2912 с,   30300.45 м/с
2913 с,   30306.66 м/с
2914 с,   30312.87 м/с
2915 с,   30319.07 м/с
2916 с,   30325.27 м/с
2917 с,   30331.47 м/с
2918 с,   30337.67 м/с
2919 с,   30343.86 м/с
2920 с,   30350.05 м/с
2921 с,   30356.23 м/с
2922 с,   30362.41 м/с
2923 с,   30368.59 м/с
2924 с,   30374.76 м/с
2925 с,   30380.93 м/с
2926 с,   30387.10 м/с
2927 с,   30393.26 м/с
2928 с,   30399.42 м/с
2929 с,   30405.57 м/с
2930 с,   30411.73 м/с
2931 с,   30417.87 м/с
2932 с,   30424.01 м/с
2933 с,   30430.15 м/с
2934 с,   30436.29 м/с
2935 с,   30442.42 м/с
2936 с,   30448.54 м/с
2937 с,   30454.66 м/с
2938 с,   30460.78 м/с
2939 с,   30466.89 м/с
2940 с,   30473.00 м/с
2941 с,   30479.10 м/с
2942 с,   30485.20 м/с
2943 с,   30491.29 м/с
2944 с,   30497.38 м/с
2945 с,   30503.46 м/с
2946 с,   30509.54 м/с
2947 с,   30515.61 м/с
2948 с,   30521.68 м/с
2949 с,   30527.75 м/с
2950 с,   30533.80 м/с
2951 с,   30539.86 м/с
2952 с,   30545.90 м/с
2953 с,   30551.95 м/с
2954 с,   30557.98 м/с
2955 с,   30564.01 м/с
2956 с,   30570.04 м/с
2957 с,   30576.06 м/с
2958 с,   30582.07 м/с
2959 с,   30588.08 м/с
2960 с,   30594.08 м/с
2961 с,   30600.08 м/с
2962 с,   30606.07 м/с
2963 с,   30612.06 м/с
2964 с,   30618.03 м/с
2965 с,   30624.01 м/с
2966 с,   30629.97 м/с
2967 с,   30635.93 м/с
2968 с,   30641.89 м/с
2969 с,   30647.83 м/с
2970 с,   30653.78 м/с
2971 с,   30659.71 м/с
2972 с,   30665.64 м/с
2973 с,   30671.56 м/с
2974 с,   30677.48 м/с
2975 с,   30683.38 м/с
2976 с,   30689.29 м/с
2977 с,   30695.18 м/с
2978 с,   30701.07 м/с
2979 с,   30706.95 м/с
2980 с,   30712.82 м/с
2981 с,   30718.69 м/с
2982 с,   30724.55 м/с
2983 с,   30730.40 м/с
2984 с,   30736.25 м/с
2985 с,   30742.09 м/с
2986 с,   30747.92 м/с
2987 с,   30753.74 м/с
2988 с,   30759.56 м/с
2989 с,   30765.37 м/с
2990 с,   30771.17 м/с
2991 с,   30776.96 м/с
2992 с,   30782.75 м/с
2993 с,   30788.53 м/с
2994 с,   30794.30 м/с
2995 с,   30800.06 м/с
2996 с,   30805.81 м/с
2997 с,   30811.56 м/с
2998 с,   30817.30 м/с
2999 с,   30823.03 м/с
3000 с,   30828.75 м/с
3001 с,   30834.47 м/с
3002 с,   30840.17 м/с
3003 с,   30845.87 м/с
3004 с,   30851.56 м/с
3005 с,   30857.24 м/с
3006 с,   30862.91 м/с
3007 с,   30868.58 м/с
3008 с,   30874.23 м/с
3009 с,   30879.88 м/с
3010 с,   30885.52 м/с
3011 с,   30891.15 м/с
3012 с,   30896.77 м/с
3013 с,   30902.38 м/с
3014 с,   30907.98 м/с
3015 с,   30913.57 м/с
3016 с,   30919.16 м/с
3017 с,   30924.74 м/с
3018 с,   30930.30 м/с
3019 с,   30935.86 м/с
3020 с,   30941.41 м/с
3021 с,   30946.95 м/с
3022 с,   30952.48 м/с
3023 с,   30958.00 м/с
3024 с,   30963.51 м/с
3025 с,   30969.01 м/с
3026 с,   30974.50 м/с
3027 с,   30979.98 м/с
3028 с,   30985.45 м/с
3029 с,   30990.92 м/с
3030 с,   30996.37 м/с
3031 с,   31001.81 м/с
3032 с,   31007.25 м/с
3033 с,   31012.67 м/с
3034 с,   31018.08 м/с
3035 с,   31023.49 м/с
3036 с,   31028.88 м/с
3037 с,   31034.26 м/с
3038 с,   31039.63 м/с
3039 с,   31045.00 м/с
3040 с,   31050.35 м/с
3041 с,   31055.69 м/с
3042 с,   31061.02 м/с
3043 с,   31066.34 м/с
3044 с,   31071.65 м/с
3045 с,   31076.95 м/с
3046 с,   31082.24 м/с
3047 с,   31087.52 м/с
3048 с,   31092.79 м/с
3049 с,   31098.05 м/с
3050 с,   31103.29 м/с
3051 с,   31108.53 м/с
3052 с,   31113.75 м/с
3053 с,   31118.96 м/с
3054 с,   31124.17 м/с
3055 с,   31129.36 м/с
3056 с,   31134.54 м/с
3057 с,   31139.71 м/с
3058 с,   31144.86 м/с
3059 с,   31150.01 м/с
3060 с,   31155.15 м/с
3061 с,   31160.27 м/с
3062 с,   31165.38 м/с
3063 с,   31170.48 м/с
3064 с,   31175.57 м/с
3065 с,   31180.65 м/с
3066 с,   31185.71 м/с
3067 с,   31190.77 м/с
3068 с,   31195.81 м/с
3069 с,   31200.84 м/с
3070 с,   31205.86 м/с
3071 с,   31210.87 м/с
3072 с,   31215.86 м/с
3073 с,   31220.84 м/с
3074 с,   31225.81 м/с
3075 с,   31230.77 м/с
3076 с,   31235.72 м/с
3077 с,   31240.65 м/с
3078 с,   31245.58 м/с
3079 с,   31250.49 м/с
3080 с,   31255.38 м/с
3081 с,   31260.27 м/с
3082 с,   31265.14 м/с
3083 с,   31270.00 м/с
3084 с,   31274.85 м/с
3085 с,   31279.68 м/с
3086 с,   31284.51 м/с
3087 с,   31289.31 м/с
3088 с,   31294.11 м/с
3089 с,   31298.90 м/с
3090 с,   31303.67 м/с
3091 с,   31308.43 м/с
3092 с,   31313.17 м/с
3093 с,   31317.90 м/с
3094 с,   31322.62 м/с
3095 с,   31327.33 м/с
3096 с,   31332.02 м/с
3097 с,   31336.70 м/с
3098 с,   31341.37 м/с
3099 с,   31346.03 м/с
3100 с,   31350.67 м/с
3101 с,   31355.29 м/с
3102 с,   31359.91 м/с
3103 с,   31364.51 м/с
3104 с,   31369.09 м/с
3105 с,   31373.67 м/с
3106 с,   31378.23 м/с
3107 с,   31382.77 м/с
3108 с,   31387.31 м/с
3109 с,   31391.83 м/с
3110 с,   31396.33 м/с
3111 с,   31400.82 м/с
3112 с,   31405.30 м/с
3113 с,   31409.76 м/с
3114 с,   31414.21 м/с
3115 с,   31418.65 м/с
3116 с,   31423.07 м/с
3117 с,   31427.48 м/с
3118 с,   31431.87 м/с
3119 с,   31436.25 м/с
3120 с,   31440.62 м/с
3121 с,   31444.97 м/с
3122 с,   31449.31 м/с
3123 с,   31453.63 м/с
3124 с,   31457.94 м/с
3125 с,   31462.23 м/с
3126 с,   31466.51 м/с
3127 с,   31470.78 м/с
3128 с,   31475.03 м/с
3129 с,   31479.26 м/с
3130 с,   31483.48 м/с
3131 с,   31487.69 м/с
3132 с,   31491.88 м/с
3133 с,   31496.06 м/с
3134 с,   31500.22 м/с
3135 с,   31504.37 м/с
3136 с,   31508.50 м/с
3137 с,   31512.62 м/с
3138 с,   31516.72 м/с
3139 с,   31520.81 м/с
3140 с,   31524.89 м/с
3141 с,   31528.94 м/с
3142 с,   31532.99 м/с
3143 с,   31537.01 м/с
3144 с,   31541.03 м/с
3145 с,   31545.02 м/с
3146 с,   31549.01 м/с
3147 с,   31552.97 м/с
3148 с,   31556.92 м/с
3149 с,   31560.86 м/с
3150 с,   31564.78 м/с
3151 с,   31568.69 м/с
3152 с,   31572.58 м/с
3153 с,   31576.45 м/с
3154 с,   31580.31 м/с
3155 с,   31584.15 м/с
3156 с,   31587.98 м/с
3157 с,   31591.79 м/с
3158 с,   31595.59 м/с
3159 с,   31599.37 м/с
3160 с,   31603.13 м/с
3161 с,   31606.88 м/с
3162 с,   31610.62 м/с
3163 с,   31614.33 м/с
3164 с,   31618.03 м/с
3165 с,   31621.72 м/с
3166 с,   31625.39 м/с
3167 с,   31629.04 м/с
3168 с,   31632.68 м/с
3169 с,   31636.30 м/с
3170 с,   31639.90 м/с
3171 с,   31643.49 м/с
3172 с,   31647.07 м/с
3173 с,   31650.62 м/с
3174 с,   31654.16 м/с
3175 с,   31657.68 м/с
3176 с,   31661.19 м/с
3177 с,   31664.68 м/с
3178 с,   31668.16 м/с
3179 с,   31671.61 м/с
3180 с,   31675.06 м/с
3181 с,   31678.48 м/с
3182 с,   31681.89 м/с
3183 с,   31685.28 м/с
3184 с,   31688.66 м/с
3185 с,   31692.01 м/с
3186 с,   31695.36 м/с
3187 с,   31698.68 м/с
3188 с,   31701.99 м/с
3189 с,   31705.28 м/с
3190 с,   31708.55 м/с
3191 с,   31711.81 м/с
3192 с,   31715.05 м/с
3193 с,   31718.28 м/с
3194 с,   31721.48 м/с
3195 с,   31724.67 м/с
3196 с,   31727.85 м/с
3197 с,   31731.00 м/с
3198 с,   31734.14 м/с
3199 с,   31737.26 м/с
3200 с,   31740.37 м/с
3201 с,   31743.45 м/с
3202 с,   31746.52 м/с
3203 с,   31749.58 м/с
3204 с,   31752.61 м/с
3205 с,   31755.63 м/с
3206 с,   31758.63 м/с
3207 с,   31761.62 м/с
3208 с,   31764.58 м/с
3209 с,   31767.53 м/с
3210 с,   31770.46 м/с
3211 с,   31773.38 м/с
3212 с,   31776.27 м/с
3213 с,   31779.15 м/с
3214 с,   31782.01 м/с
3215 с,   31784.86 м/с
3216 с,   31787.68 м/с
3217 с,   31790.49 м/с
3218 с,   31793.28 м/с
3219 с,   31796.06 м/с
3220 с,   31798.81 м/с
3221 с,   31801.55 м/с
3222 с,   31804.27 м/с
3223 с,   31806.97 м/с
3224 с,   31809.65 м/с
3225 с,   31812.32 м/с
3226 с,   31814.97 м/с
3227 с,   31817.60 м/с
3228 с,   31820.21 м/с
3229 с,   31822.81 м/с
3230 с,   31825.38 м/с
3231 с,   31827.94 м/с
3232 с,   31830.48 м/с
3233 с,   31833.00 м/с
3234 с,   31835.51 м/с
3235 с,   31838.00 м/с
3236 с,   31840.46 м/с
3237 с,   31842.91 м/с
3238 с,   31845.35 м/с
3239 с,   31847.76 м/с
3240 с,   31850.15 м/с
3241 с,   31852.53 м/с
3242 с,   31854.89 м/с
3243 с,   31857.23 м/с
3244 с,   31859.55 м/с
3245 с,   31861.86 м/с
3246 с,   31864.14 м/с
3247 с,   31866.41 м/с
3248 с,   31868.66 м/с
3249 с,   31870.89 м/с
3250 с,   31873.10 м/с
3251 с,   31875.29 м/с
3252 с,   31877.47 м/с
3253 с,   31879.62 м/с
3254 с,   31881.76 м/с
3255 с,   31883.88 м/с
3256 с,   31885.98 м/с
3257 с,   31888.06 м/с
3258 с,   31890.13 м/с
3259 с,   31892.17 м/с
3260 с,   31894.20 м/с
3261 с,   31896.20 м/с
3262 с,   31898.19 м/с
3263 с,   31900.16 м/с
3264 с,   31902.11 м/с
3265 с,   31904.05 м/с
3266 с,   31905.96 м/с
3267 с,   31907.85 м/с
3268 с,   31909.73 м/с
3269 с,   31911.59 м/с
3270 с,   31913.42 м/с
3271 с,   31915.24 м/с
3272 с,   31917.04 м/с
3273 с,   31918.82 м/с
3274 с,   31920.59 м/с
3275 с,   31922.33 м/с
3276 с,   31924.06 м/с
3277 с,   31925.76 м/с
3278 с,   31927.45 м/с
3279 с,   31929.11 м/с
3280 с,   31930.76 м/с
3281 с,   31932.39 м/с
3282 с,   31934.00 м/с
3283 с,   31935.59 м/с
3284 с,   31937.17 м/с
3285 с,   31938.72 м/с
3286 с,   31940.25 м/с
3287 с,   31941.77 м/с
3288 с,   31943.26 м/с
3289 с,   31944.74 м/с
3290 с,   31946.20 м/с
3291 с,   31947.63 м/с
3292 с,   31949.05 м/с
3293 с,   31950.45 м/с
3294 с,   31951.83 м/с
3295 с,   31953.19 м/с
3296 с,   31954.54 м/с
3297 с,   31955.86 м/с
3298 с,   31957.16 м/с
3299 с,   31958.45 м/с
3300 с,   31959.71 м/с
3301 с,   31960.96 м/с
3302 с,   31962.18 м/с
3303 с,   31963.39 м/с
3304 с,   31964.57 м/с
3305 с,   31965.74 м/с
3306 с,   31966.89 м/с
3307 с,   31968.02 м/с
3308 с,   31969.13 м/с
3309 с,   31970.22 м/с
3310 с,   31971.29 м/с
3311 с,   31972.34 м/с
3312 с,   31973.37 м/с
3313 с,   31974.38 м/с
3314 с,   31975.38 м/с
3315 с,   31976.35 м/с
3316 с,   31977.30 м/с
3317 с,   31978.24 м/с
3318 с,   31979.15 м/с
3319 с,   31980.05 м/с
3320 с,   31980.92 м/с
3321 с,   31981.78 м/с
3322 с,   31982.62 м/с
3323 с,   31983.43 м/с
3324 с,   31984.23 м/с
3325 с,   31985.01 м/с
3326 с,   31985.77 м/с
3327 с,   31986.50 м/с
3328 с,   31987.22 м/с
3329 с,   31987.92 м/с
3330 с,   31988.60 м/с
3331 с,   31989.26 м/с
3332 с,   31989.90 м/с
3333 с,   31990.52 м/с
3334 с,   31991.12 м/с
3335 с,   31991.71 м/с
3336 с,   31992.27 м/с
3337 с,   31992.81 м/с
3338 с,   31993.33 м/с
3339 с,   31993.83 м/с
3340 с,   31994.32 м/с
3341 с,   31994.78 м/с
3342 с,   31995.23 м/с
3343 с,   31995.65 м/с
3344 с,   31996.05 м/с
3345 с,   31996.44 м/с
3346 с,   31996.80 м/с
3347 с,   31997.15 м/с
3348 с,   31997.47 м/с
3349 с,   31997.78 м/с
3350 с,   31998.07 м/с
3351 с,   31998.33 м/с
3352 с,   31998.58 м/с
3353 с,   31998.81 м/с
3354 с,   31999.01 м/с
3355 с,   31999.20 м/с
3356 с,   31999.37 м/с
3357 с,   31999.52 м/с
3358 с,   31999.64 м/с
3359 с,   31999.75 м/с
3360 с,   31999.84 м/с
3361 с,   31999.91 м/с
3362 с,   31999.96 м/с
3363 с,   31999.99 м/с
3364 с,   32000.00 м/с
