Time,Speed
0,0.182123059519252
0.0199999999999818,0.6687845654
0.239999999999782,1.78199004
0.459999999999582,4.881073832
0.679999999999382,6.363920684
0.899999999999181,9.726004614
1.11999999999898,11.53293088
1.33999999999878,11.88491618
1.55999999999858,13.63673191
1.77999999999838,14.66271016
1.99999999999818,17.01406609
2.21999999999798,18.76618442
2.43999999999778,21.35871626
2.65999999999758,21.35871626
2.87999999999738,22.7762825
3.09999999999718,24.10262536
3.31999999999698,25.39415569
3.53999999999678,27.1919884
3.75999999999658,29.46846142
3.97999999999638,31.28646362
4.19999999999618,32.80053049
4.41999999999598,33.31886537
4.63999999999578,35.16789808
4.85999999999558,36.68896627
5.07999999999538,37.77245068
5.29999999999518,39.48605407
5.51999999999498,40.64079315
5.73999999999478,40.64079315
5.95999999999458,42.19915281
6.17999999999438,43.49296799
6.39999999999418,46.01912352
6.61999999999398,51.24136924
6.83999999999378,53.73560599
7.05999999999358,55.98886784
7.27999999999338,57.94505267
7.49999999999318,58.40782175
7.71999999999298,60.43025052
7.93999999999278,62.95805335
8.15999999999258,64.85780431
8.37999999999238,67.65166109
8.59999999999218,69.31048414
8.81999999999198,69.31048414
9.03999999999178,70.38316341
9.25999999999158,71.57108614
9.47999999999138,72.83061635
9.69999999999118,74.6227078
9.91999999999098,76.86199644
10.1399999999908,79.4436125
10.3599999999906,81.18991059
10.5799999999904,81.93614562
10.7999999999902,83.58347236
11.01999999999,86.10000945
11.2399999999898,88.53750213
11.4599999999896,90.87689593
11.6799999999894,92.95861222
11.8999999999892,92.95861222
12.119999999989,94.77949995
12.3399999999888,96.45190762
12.5599999999886,98.38597017
12.7799999999884,101.4421221
12.9999999999882,103.6481859
13.219999999988,108.1281864
13.4399999999878,109.3694234
13.6599999999876,110.211047
13.8799999999874,112.6013495
14.0999999999872,115.5372862
14.319999999987,116.469388
14.5399999999868,117.9936889
14.7599999999866,119.1070615
14.9799999999864,119.1070615
15.1999999999862,122.4271365
15.419999999986,123.7091127
15.6399999999858,125.7309487
15.8599999999856,129.4554659
16.0799999999854,130.9323277
16.2999999999852,132.8640222
16.519999999985,134.5064511
16.7399999999848,135.2666473
16.9599999999846,136.1785377
17.1799999999844,137.5553279
17.3999999999842,139.4190437
17.619999999984,143.6961972
17.8399999999838,145.3311952
18.0599999999836,145.3311952
18.2799999999834,146.9661693
18.4999999999832,148.6214791
18.719999999983,150.5634047
18.9399999999828,152.7854023
19.1599999999826,155.5397477
19.3799999999824,160.0702269
19.5999999999822,161.9600697
19.819999999982,162.9465538
20.0399999999818,164.2882919
20.2599999999816,166.851999
20.4799999999814,168.1500302
20.6999999999812,174.1810383
20.919999999981,176.992744
21.1399999999808,176.992744
21.3599999999806,178.6886406
21.5799999999804,179.8007888
21.7999999999802,182.0612102
22.01999999998,184.154685
22.2399999999798,186.1240131
22.4599999999796,190.0187902
22.6799999999794,191.4814384
22.8999999999792,192.3671699
23.119999999979,194.0325561
23.3399999999788,195.8547618
23.5599999999786,199.0173145
23.7799999999784,201.0870431
23.9999999999782,203.1740325
24.219999999978,203.1740325
24.4399999999778,204.7713847
24.6599999999776,205.9853161
24.8799999999774,206.9865551
25.0999999999772,208.8538586
25.319999999977,211.1563713
25.5399999999768,212.9998326
25.7599999999766,214.1136236
25.9799999999764,214.9908225
26.1999999999762,216.0592782
26.419999999976,217.4675839
26.6399999999758,219.3529899
26.8599999999756,221.6504436
27.0799999999754,223.8674551
27.2999999999752,223.8674551
27.519999999975,225.9848455
27.7399999999748,227.0909002
27.9599999999746,228.6930301
28.1799999999744,231.7005115
28.3999999999742,235.0880031
28.619999999974,237.091315
28.8399999999738,239.90873
29.0599999999736,240.5769361
29.2799999999734,243.5834608
29.4999999999732,245.5333289
29.719999999973,248.2341701
29.9399999999728,255.1933441
30.1599999999726,256.4976524
30.3799999999724,256.4976524
30.5999999999722,257.8332543
30.819999999972,258.9335472
31.0399999999718,259.974969
31.2599999999716,261.975402
31.4799999999714,263.1046958
31.6999999999712,266.3439151
31.919999999971,268.1312246
32.1399999999708,268.5822566
32.3599999999706,270.1704624
32.5799999999704,271.7997823
32.7999999999702,273.4484203
33.01999999997,276.2443878
33.2399999999698,278.2763091
33.4599999999696,278.2763091
33.6799999999694,280.4185759
33.8999999999692,282.0421719
34.119999999969,284.2228564
34.3399999999688,286.0195432
34.5599999999686,288.6715271
34.7799999999684,293.740795
34.9999999999682,296.1037927
35.219999999968,296.8039243
35.4399999999678,299.1516367
35.6599999999676,300.3916842
35.8799999999674,301.9435269
36.0999999999672,306.4954087
36.319999999967,307.8
36.5399999999668,308
36.7599999999666,308.2
36.9799999999664,308.9
37.1999999999662,309.2
37.419999999966,309.6
37.6399999999658,309.8
37.8599999999656,310.25
38.0799999999654,310.7
38.2999999999652,311.4
38.519999999965,311.8
38.7399999999648,312
38.9599999999646,313
39.1799999999644,314.9429992
39.3999999999642,316.3149899
39.619999999964,316.3149899
39.8399999999638,318.3681698
40.0599999999636,319.5301049
40.2799999999634,320.5105281
40.4999999999632,321.4115077
40.719999999963,322.7545015
40.9399999999628,324.3470756
41.1599999999626,325.3101626
41.3799999999624,325.9054903
41.5999999999622,326.8833721
41.819999999962,327.5998462
42.0399999999618,328.777078
42.2599999999616,330.1591473
42.4799999999614,331.7880094
42.6999999999612,331.7880094
42.919999999961,333.1187054
43.1399999999608,333.590388
43.3599999999606,334.468631
43.5799999999604,335.336443
43.7999999999602,336.9253319
44.01999999996,338.9748069
44.2399999999598,339.6062749
44.4599999999596,339.9283252
44.6799999999594,340.7334283
